입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
항행안전시설 비행점검장비의 군 필요성...연구,국군수도병원,,107.341,,,,,
원주기지 활주로 재포장사업 선행연구 용역,해군군수사령부,38422608.0,90.258,2016-08-09,,,오세형,
23-4차 산업혁명 접목 미래함정 발전방향 연구,제2307부대,,90.866,2017-12-25,롯데캐피탈(주),최규식,이윤아,경기도 김포시 대곶면 송마로52번길61-66
22-함정무기체계 한국형 사이버보안제도 적용연구,4284부대,81041701.0,91.847,2022-04-12,협동조합 미래국방산업네트워크,조희아,조상환,서울특별시 강남구 논현로189길6 (압구정동)
상층대기분석장비 유지보수,제9691부대,304746583.0,101.719,2021-10-07,주식회사 엔지엠테크,김선철,장철호,경상남도 창원시 진해구 웅동로162-0
LOSS율 적용을 통한 소형/저단가 품목 관리방안 연구,합동참모본부,71687598.0,79.351,2016-10-28,,,,
급식유통센터 성과분석 및 (경남권)필요성 연구,국군재정관리단,163516627.0,79.524,,사단법인 한국드론혁신협회(KDIA),채순기,류상윤,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
연구용역(방공포병 준.부사관 특기체계개선방안 연구),국군수도병원,17654534.0,83.059,2023-02-08,호원대학교 산학협력단,김진욱,박계향,"서울특별시 광진구 능동로120, 건국대학교내(화양동)"
복합무기체계 시험평가 제도개선에 관한 연구,제2307부대,,72.847,,한화오션 주식회사,이경미,,"경기도 성남시 수정구 복정로84번길 22-15,(B-001호) (복정동)"
인공지능 전차 비사격 훈련시스템 개발 연구용역,국군의무사령부,212166140.0,,2018-05-13,,,박계향,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
실전적 모의지원 연구,방위사업청(운영지원과),95115029.0,90.718,2016-12-03,재단법인 한국군사문제연구원,김형철,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
해군  해경운용 및 전방위 안보 강화방안 연구용역,국군의무사령부,44084992.0,79.004,2021-02-24,드림인텍(주),김지은,송포,부산광역시 부산진구 동성로20 (전포동)
해상종합전술훈련장 체계구축 사업 개념 연구,제9691부대,103302218.0,71.79,2018-02-25,,,,
전탐감시대 감시장비 원격통합감시체계 구축 연구,국군재정관리단,29083934.0,97.742,,,김효근,김지혜,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
24-공군 적정 상비병력 규모 연구 용역,국방부(운영지원과),44111129.0,,2021-01-13,주식회사피레타,이도형,남궁진,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)"
상비병력 규모 최적 결정을 위한 제도 조합 방안 연구,국방부(운영지원과),,82.668,,(사)국방시설연구협회,이명식,최승룡,경상북도 경주시 동대로 123(석장동)
4차 산업혁명  군 적용을 위한 R&D 발전방안 연구,공군본부,156967486.0,77.812,2017-05-04,,,정현찬,
CSRP 화생방 연구 자료 시약 구매,제9691부대,12202408.0,,2019-02-28,,정봉원,,"인천광역시 서구 로봇랜드로155-11 (청라동), 5층 504호"
(236035-G) 23년 네트워크위협분석체계(NTAS) 구축,국군재정관리단,91401619.0,81.414,,주식회사 휴먼컨설팅앤메니지먼트,정주교,전수현,"경기도 용인시 기흥구 덕영대로1732-0 (서천동, 경희대학교 국제캠퍼스내)"
주요 선진국의 획득제도 사례분석을 통한 시사점 연구,국군재정관리단,,82.209,,,,,
23-D-라만분광분석기 구매,공군제17전투비행단,128866542.0,,2022-05-24,(주)컴트리,신범수,이찬홍,"경상남도 김해시 관동로138, 1404동 301호(관동동, 죽림마을 동원로얄듀크아파트14단지)"
22-11차 연구장비 구매 계약 - 의약품 냉동고,합동참모본부,156790921.0,73.802,2020-04-06,더스테이지,김정한,진보라,"경기도 수원시 장안구 송원로20, B동 1010호(송죽동, 수원아너스빌위즈)"
K21 4차 양산사업 시설사업기본계획 연구용역,국군재정관리단,45691428.0,95.077,2018-03-11,테크디,서은진,김근우,충청북도 청주시 서원구 남이면 남석로326
민간인력 편성기준 연구(2019K003-B),국방부(운영지원과),147721234.0,97.65,,(사)한국전략문제연구소,,,
포항지역 항공기 소음감소 대응방안 연구 용역,방위사업청,106378848.0,76.567,2020-07-27,주식회사 리얼웹,김동준,,강원특별자치도 춘천시 강원대학길1 (효자동)
군사시설 건축공법(경량화) 개선 연구,해군군수사령부,24929923.0,,2016-09-09,,,,
22-00생활관 신축 분석평가 및 선행연구 용역,국군재정관리단,,,,한국산업기술시험원,노광현,,"충청남도 논산시 대학로 121, 건양대학교 산학협력단(내동)"
ArmyTIGER4.0네트워크정보유통능력분석연구용역,육군교육사령부,,92.945,2016-07-28,,,,
(20G056-I)빅데이터 분석체계 구축사업 금융리스,국군의무사령부,132138216.0,,2023-12-16,주식회사 가이온,홍광표,윤수정,"서울특별시 용산구 이촌로65가길51-0 (이촌동, 한가람아파트) 214-2103"
군 자동소음측정망 설치기준 및 운영방안 연구,육군본부,,77.701,2020-08-27,(주)에프오알엠도시건축공간연구소,,,세종특별자치시  시청대로370-0
2018년 제4회 국방 분석평가관계관 워크숍 위탁운영,해군본부,107855761.0,99.847,,한국환경설계(주),강남기,,"서울특별시 동작구 남부순환로2021, 2층 (사당동)"
공무원 징계와 군 징계의 비교법적 연구,해군본부,98407653.0,89.159,2019-12-06,디엔아이,김영욱,김정일,서울특별시 강남구 선릉로64길6-0 (대치동) 2층
적외선차폐연막통(연막제) 유해성 입증시험 연구용역,합동참모본부,774249738.0,90.077,2016-07-24,,곽재수,,"경기도 성남시 수정구 창업로54, 504호 (시흥동)"
유류시험장비(황분분석시험기 등 4종) 구매,국방대학교,3138909.0,72.056,2016-08-22,주식회사 지음지식서비스,현동재,박계향,"경기도 고양시 일산서구 산현로17번길38, 1102동 503호"
한국적 지뢰대응활동표준 작성에 대한 연구,공군본부,66533137.0,,2021-08-26,(재)한국기계전기전자시험연구원,김한욱,윤진영,세종특별자치시  반곡동 시청대로370 세종국책연구단지 B동(과학.인프라동) 8-11층
디지털 혁신시대 SW개발역량 강화방안 연구용역,국방부(운영지원과),18953476.0,,2017-02-25,(주)두두아이티,정의붕,윤진영,서울특별시 관악구 관악로1 (신림동)
[연구소] '22-2차 감정재료 구매,국군재정관리단,337897847.0,79.751,2021-03-20,테크디,이홍민,,"경기도 고양시 일산동구 일산로441번길34-13, 1층 (1층 상가 좌측)(정발산동)"
부대재배치 선행연구 용역(2019F065-B),육군본부,,78.522,2017-01-27,,,윤진영,
[24-육-85] 무기체계별 EMP방호기술 적용방안 연구,국방부(운영지원과),,89.434,2019-10-18,군정비지원센터,최계영,이연수,"서울특별시 강남구 강남대로62길24-0 (역삼동,해송빌딩)3층"
AI를 적용한 화생방 드론봇 전력체계 연구 용역,방위사업청(운영지원과),,80.316,2019-01-06,(사)한국위기관리연구소,손승우,홍종운,경상남도 고성군 동해면 내산3길51-1
(21G085-H)'22년 스펙트럼 측정분석장비 유지보수용역,국군재정관리단,48454457.0,96.045,2021-10-02,주식회사남동,조만희,박소영,경상남도 창원시 마산회원구 양덕북5길97 (양덕동1층상가)
스펙트럼용 분석기 구매,국군의무사령부,39804836.0,106.022,,한국재료연구원,김자이,이효진,"충청북도 청주시 청원구 대성로298-0 (내덕동, 청주대학교)"
소형무장헬기 경제적 획득 방안 연구,방위사업청(운영지원과),35372190.0,99.091,2020-12-16,사단법인 안보경영연구원,,김영수,
22-15차 연구장비 구매 계약 - 진탕욕조,4284부대,,,2022-07-10,국방대학교산학협력단,허건영,,서울특별시 관악구 관악로1 (신림동)
(21F040-G) 사이버위협분석 개발연구체계 구축 사업,해군본부,180591596.0,75.586,,,,,
차세대 전투차량 발전방안 연구 용역,국군재정관리단,14874276.0,,2021-10-22,주식회사 성호넷,정평길,유형우,"서울특별시 금천구 가산디지털1로5, 대륭테크노타운 20차 1934호"
국방산업혁신펀드(가칭) 시행방안 연구,국군재정관리단,161519981.0,78.356,,,,김현정,
프로그램 단위 성과관리를 위한 성과지표 연구,국방부(운영지원과),570704168.0,,,동성켐텍,정안수,,대전광역시 서구 계룡로408-0 (갈마동)
전시 공군탄약소요산정 모델 개선ㆍ보완 연구,국군재정관리단,21818964.0,,2018-02-26,,,,
의무피복류 보급기준 및 품질개선에 대한 연구,국방부(운영지원과),,88.904,2020-07-17,(사단) 한국정치학회,,송용재,
19-TSCE 기반 함정 체계통합방안 연구 용역,육군본부,74247721.0,83.511,2017-01-23,,,박계향,
추진장약 저장수명 예측 가속노화시험 연구용역,국군재정관리단,19253489.0,99.147,,안전성평가솔루션 주식회사,최규식,김승준,충청북도 청주시 청원구 율봉로159번길73-1 (율량동)
AI유무인 복합체계 활용 방안 연구,공군제18전투비행단,,98.579,2019-10-02,한국환경설계(주),홍광표,최승룡,"경기도 시흥시 목감남서로9-19 (조남동),601호 메이저타워"
예비군훈련 적정 보상비 연구,방위사업청(운영지원과),,90.457,2019-07-28,숭실대학교 산학협력단,오종한,홍종운,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
국방무인체계 총수명주기관리방안 연구,해군본부,144055065.0,65.648,2018-11-13,,,,
스펙트럼분석기구매 (20199198-I),국군재정관리단,205819863.0,100.123,2020-12-24,주식회사 에스에이컨설팅,오현웅,송귀섭,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
’22년 전투발전 연구과제 용역(2),공군본부,93161692.0,76.502,2023-05-05,,,심지민,
오폐수처리시설 기술제안서 평가기준 정립 연구용역,국방부(운영지원과),147402972.0,76.773,2018-05-22,주식회사 아레스,김태일,추현아,"서울특별시 금천구 벚꽃로254-0 (가산동, 월드메르디앙벤처센타) 1109호"
주변국 지상군에 대한 부대 및 전력구조 연구,국군재정관리단,116935094.0,,2016-09-18,와이파이컴퍼니,이재평,,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호
(226410-C) 지형분석장비 구매(리스물건),해군본부,357047866.0,94.112,,매쉬미디어(주),정진욱,한아름,"경상북도 경산시 하양읍 하양로13-13, D1동 4층 406호"
21-무기체계 수명주기간 부품국산화 발전방안 연구,국방부(운영지원과),,98.157,,,,황병윤,
공군 휴대용 소형무인기 대응체계 연구 용역,국방부(운영지원과),,89.352,2017-12-05,,,,
군 사이버훈련장 활용을 통한 사이버전 대응전력 연구,국방부(운영지원과),210968587.0,82.258,2018-04-27,,박정기,,
1형 복합부위 통증증후군 생체지표 발굴 연구용역,국군복지단,,,,테크노빌리지 주식회사,권오경,전희수,"서울특별시 강남구 테헤란로306, 13층(역삼동, 카이트타워)"
생성형 AI 서비스 구축 방안 정책연구용역,해군본부,249101781.0,87.569,2021-11-03,차이,천병년,나인성,부산광역시 부산진구 동성로20 (전포동)
극지안보환경 변화에 따른 미래 한국해군의 역할 연구,4284부대,353224957.0,,2018-08-08,,,,
KAOC 신축사업 지휘통신체계 구축방안 연구용역,한미연합군사령부,371110641.0,116.806,,,,박병희,
00 징후분석체계 구축,국방부(운영지원과),287544059.0,69.237,,주식회사화인시스텍,김회율,박종부,"경기도 군포시 번영로514, 601호(금정동)"
(247158-F) 스펙트럼 분석기 등 3종 구매,국방대학교,,84.232,2021-10-12,영화산업,최규식,서유림,"경기도 고양시 일산동구 중앙로1305-30, 728호 (장항동, 일산마이다스오피스텔)"
20-MTU엔진 PBL 비용대효과분석 및 성과지표 연구,제9691부대,121224222.0,78.6,2016-08-07,,,,
6.25 전쟁 이후 주요 해전 증언록 연구용역,국방부(운영지원과),,116.179,2023-01-11,에스엔케이와이즈주식회사,김경호,김선태,경기도 구리시 갈매순환로166번길45 (갈매동) 구리갈매아너시티S811
수중자율기뢰 탐색체(AUV) 사업분석,국방부(운영지원과),,68.804,,(주)다큐멘테크,이미영,김종호,"대전광역시 유성구 한밭대로138 (노은동, 노은노블레스) 201호"
민·군용헬기 감항인증 상호 교차인정 적용방안 연구,국군수도병원,,85.283,2022-06-08,한남대학교 산학협력단,오중산,이유진,대전광역시 동구 대학로62-0 (용운동)
국방 비밀관리시스템 연동표준 개념연구,공군본부,,,2022-07-10,사단법인 국방지능정보기술융합협회,홍영기,김해진,대전광역시 유성구 유성대로1646-0 (전민동)
23-1차 연구의무물자(BL3 중앙실험대 등 5종) 구매,국군재정관리단,,80.149,2021-06-03,(주)두두아이티,정승인,최승룡,"경기도 용인시 수지구 죽전로 152, 단국대학교내(죽전동)"
2018년 제4회 국방 분석평가관계관 워크숍 위탁운영,국군재정관리단,963675.0,,2022-01-03,(사)한국지방자치학회,나승식,황성환,세종특별자치시  전동면 보평길167-0
